X,Y,Z,Class
0.13630596,-0.2863911,-0.004070208,0
0.21819188,-0.3135648,0.014338908,0
0.10412555,-0.27530998,-0.015391288,0
0.11677139,-0.29810342,-0.020336838,0
3.0556316,0.3564634,2.7831793,0
2.9991248,0.3010103,2.7330465,0
3.0712755,0.41275558,2.765668,0
2.9975379,0.35882384,2.7758353,0
3.0291054,0.37786782,2.7601326,0
2.9461293,0.34376255,2.7371922,0
0.1311573,-0.28660372,-0.018396541,0
3.0516937,0.35274723,2.7619035,0
2.9920135,0.33156085,2.7606056,0
2.9238029,0.30037135,2.7326262,0
0.11074446,-0.30270496,0.002317118,0
0.20429157,-0.36867335,0.011763461,0
0.16828465,-0.2860877,-0.014309519,0
0.061170768,-0.2993659,0.010521851,0
0.17717628,-0.3896969,0.00442475,0
0.19671705,-0.34797508,0.007129838,0
3.065078,0.33561453,2.788426,0
3.1314576,0.3657194,2.792221,0
3.0370612,0.3263702,2.7858813,0
0.12600619,-0.34759992,-0.006365715,0
2.9233887,0.30974656,2.7601144,0
3.0248082,0.387095,2.7655065,0
2.9682946,0.33518952,2.7858853,0
3.0949686,0.36230704,2.7858434,0
3.0401876,0.35927278,2.8302126,0
3.0353591,0.351852,2.774445,0
0.13923427,-0.33066615,0.001378221,0
0.16032186,-0.33350122,-0.007030944,0
0.13398401,-0.33361128,0.014063391,0
0.20137765,-0.34450322,-6.53E-04,0
0.09777567,-0.366305,0.026560212,0
0.040990666,-0.33104256,0.03384433,0
0.030990666,-0.33104256,0.03384433,0
0.213998,-0.48821342,0.07386776,0
0.1954128,-0.5069768,0.0821258,0
0.20201783,-0.48900467,0.10192641,0
0.15873793,-0.470992,0.07248092,0
0.065223716,-0.41411087,0.047553692,0
2.9400368,0.39759228,2.8465424,0
2.9516263,0.42759353,2.8433163,0
3.0301032,0.5644089,2.860595,0
3.0356605,0.5893648,2.8494904,0
2.9853997,0.470129,2.84692,0
3.0361514,0.5210964,2.852169,0
2.9832056,0.4908625,2.8436007,0
0.10680993,-0.4236792,0.042125802,0
0.17496245,-0.47892794,0.060803253,0
0.14248222,-0.48129827,0.09668858,0
0.20238003,-0.4952474,0.064598955,0
0.13056864,-0.44842824,0.0548155,0
0.14955738,-0.49293986,0.07809258,0
2.9034622,0.38810554,2.8460581,0
3.0047195,0.49085468,2.83089,0
2.813295,0.4059202,2.818695,0
2.999258,0.49937376,2.848586,0
3.0163326,0.5623067,2.8827307,0
0.14747576,-0.4735475,0.0738559,0
2.8929605,0.47123662,2.8402574,0
2.9457908,0.46856675,2.862711,0
2.9250972,0.39880058,2.8534074,0
0.117732786,-0.3742806,0.044983655,0
0.17462754,-0.43559283,0.04991909,0
0.14579934,-0.457573,0.07629514,0
0.13283868,-0.45707035,0.068997994,0
0.078893036,-0.49374345,0.08729593,0
2.9836416,0.4995335,2.8570116,0
0.18083951,-0.49621055,0.07630054,0
2.9472237,0.45267236,2.8264468,0
2.8941998,0.44393042,2.8366845,0
2.907968,0.48369542,2.849523,0
2.9547067,0.47554624,2.8405688,0
2.8916786,0.41850907,2.828977,0
2.8982599,0.49619406,2.8603234,0
2.97016,0.5243886,2.846432,0
0.1324501,-0.40454343,0.031125719,0
0.1366996,-0.4552452,0.0539086,0
0.12350156,-0.4621486,0.06322579,0
0.17635913,-0.50043136,0.05146326,0
0.15378977,-0.45597833,0.06330982,0
0.08977422,-0.44888175,0.07129603,0
0.18119173,-0.47904274,0.09457028,0
3.014967,0.48597625,2.8816206,0
3.0251963,0.42497507,2.9090118,0
0.115687236,-0.46159825,0.06877343,0
2.9561584,0.4604664,2.8947845,0
3.0857413,0.4600535,2.850994,0
2.9891052,0.43561265,2.859713,0
3.0028012,0.47000295,2.892794,0
2.9796476,0.44082507,2.87448,0
3.0212834,0.45597282,2.8813262,0
0.1445962,-0.34285447,0.04052228,0
0.15934232,-0.4388559,0.083495975,0
0.12569058,-0.44448817,0.052452467,0
0.089070484,-0.4170321,0.047436573,0
0.09327009,-0.40846044,0.051181283,0
0.06692131,-0.38727722,0.06394998,0
0.10511195,-0.3878341,0.042119596,0
0.16650032,-0.43979883,0.038145665,0
0.13142267,-0.46118534,0.06078416,0
3.0204055,0.40723225,2.8829305,0
2.9626637,0.4006594,2.8594449,0
2.9840002,0.4012912,2.8644533,0
2.893088,0.35485816,2.8542392,0
0.1687156,-0.42384502,0.06685427,0
2.9758384,0.47805256,2.859078,0
2.9693677,0.43476757,2.8758612,0
0.17515133,-0.39014462,0.09268769,0
0.16136415,-0.42738825,0.06410184,0
0.16876101,-0.42554814,0.09081342,0
0.2615195,-0.39357752,0.027541513,0
0.18375418,-0.41887444,0.076265596,0
0.2098225,-0.34780633,-0.007087728,0
2.9712486,0.40501407,2.8484292,0
3.0545583,0.43643224,2.883535,0
3.005998,0.4194386,2.884492,0
2.9326546,0.4414122,2.9028976,0
2.9811127,0.4474179,2.8780468,0
